date,vacancies,unemployment_level,labour_force,short_term_unemployment,employment,unemployment_next,short_term_unemployment_next,job_finding_probability,separation_probability,job_finding_hazard,separation_hazard
2000-12-01,5088.0,5634.0,143248.0,2477.0,137614.0,6023.0,2648.0,0.40095846645367417,0.02406720258101658,0.5124243451296878,0.024361550043166622
2001-01-01,5234.0,6023.0,143800.0,2648.0,137777.0,6089.0,2851.0,0.462394155736344,0.026915686913142133,0.6206296188061406,0.02728454784023256
2001-02-01,5097.0,6089.0,143701.0,2851.0,137612.0,6141.0,2681.0,0.4317621941205453,0.024846120296268308,0.5652152755568042,0.02515999510023743
2001-03-01,4762.0,6141.0,143924.0,2681.0,137783.0,6271.0,2972.0,0.4627910763719264,0.02806404494810496,0.6213682031008179,0.028465366556835958
2001-04-01,4615.0,6271.0,143569.0,2972.0,137298.0,6226.0,2701.0,0.43788869398819963,0.025187113150454892,0.5760553952966517,0.025509737325090993
2001-05-01,4425.0,6226.0,143318.0,2701.0,137092.0,6484.0,2808.0,0.40957275939608095,0.025757350108559285,0.5269088675259758,0.026094879168025054
2001-06-01,4361.0,6484.0,143357.0,2808.0,136873.0,6583.0,2642.0,0.39219617520049355,0.024011094953134537,0.49790310566056306,0.024304060413509226
2001-07-01,4447.0,6583.0,143654.0,2642.0,137071.0,7042.0,2966.0,0.3808294090840042,0.02672778407132073,0.47937445312526117,0.027091466213506953
2001-08-01,4024.0,7042.0,143284.0,2966.0,136242.0,7142.0,2837.0,0.38866799204771374,0.025845996845925204,0.4921150828531667,0.026185873717095465
2001-09-01,4071.0,7142.0,143989.0,2837.0,136847.0,7694.0,3111.0,0.3583029963595632,0.027695022360349115,0.4436390436452698,0.028085760731259242
2001-10-01,3707.0,7694.0,144086.0,3111.0,136392.0,8003.0,3090.0,0.3614504808942033,0.027652856915208766,0.4485560511435922,0.028042395190762213
2001-11-01,3775.0,8003.0,144240.0,3090.0,136237.0,8258.0,3037.0,0.34761964263401224,0.026981723794991058,0.4271275169564938,0.027352413616926582
2001-12-01,3677.0,8258.0,144305.0,3037.0,136047.0,8182.0,3044.0,0.3778154516832163,0.027585789247920822,0.47451852877620665,0.027973422545679343
2002-01-01,3699.0,8182.0,143883.0,3044.0,135701.0,8215.0,2984.0,0.36066976289415786,0.026827445235504732,0.44733415511873276,0.027193869493344788
2002-02-01,3436.0,8215.0,144653.0,2984.0,136438.0,8304.0,3074.0,0.3633597078514912,0.02753247638772099,0.4515504734123999,0.027918598790310372
2002-03-01,3612.0,8304.0,144481.0,3074.0,136177.0,8599.0,2932.0,0.31755780346820806,0.02559470021434371,0.3820774492360506,0.025927943016607606
2002-04-01,3471.0,8599.0,144725.0,2932.0,136126.0,8399.0,2843.0,0.3538783579485987,0.025374871255153187,0.43676749253666214,0.02570236525557856
2002-05-01,3457.0,8399.0,144938.0,2843.0,136539.0,8393.0,2711.0,0.3234908917728301,0.023686281056556485,0.3908093677114938,0.023971310873982226
2002-06-01,3412.0,8393.0,144808.0,2711.0,136415.0,8390.0,2891.0,0.34481115215060165,0.025607572352277494,0.4228317675750128,0.025941153354194488
2002-07-01,3367.0,8390.0,144803.0,2891.0,136413.0,8304.0,2927.0,0.35911799761620977,0.02615288514099094,0.44490992265157375,0.026500953923946295
2002-08-01,3517.0,8304.0,145009.0,2927.0,136705.0,8251.0,2772.0,0.3401974951830443,0.024433315713258515,0.41581472386725415,0.024736762171039872
2002-09-01,3301.0,8251.0,145552.0,2772.0,137301.0,8307.0,2765.0,0.32832383953460187,0.024093466074008134,0.39797895868141947,0.02438846157483971
2002-10-01,3479.0,8307.0,145314.0,2765.0,137007.0,8520.0,2950.0,0.329481160467076,0.02577851388867436,0.3997034789177419,0.026116602719128565
2002-11-01,3514.0,8520.0,145041.0,2950.0,136521.0,8640.0,2838.0,0.3190140845070423,0.02473311696919267,0.3842136551420121,0.025044119255023756
2002-12-01,3169.0,8640.0,145066.0,2838.0,136426.0,8520.0,2856.0,0.34444444444444444,0.02528991059095685,0.4222722264245456,0.025615196395693502
2003-01-01,3441.0,8520.0,145937.0,2856.0,137417.0,8618.0,2798.0,0.31690140845070425,0.024195114750591325,0.3811160790978779,0.024492625208537205
2003-02-01,3229.0,8618.0,146100.0,2798.0,137482.0,8588.0,2831.0,0.33197957762822006,0.024690089263859363,0.40343653349997377,0.02500000132490403
2003-03-01,3099.0,8588.0,146022.0,2831.0,137434.0,8842.0,2794.0,0.29576152771308806,0.023857879768077142,0.35063824113930275,0.02414708817815415
2003-04-01,3108.0,8842.0,146474.0,2794.0,137632.0,8957.0,2988.0,0.324926487220086,0.025921330927322017,0.3929336862175387,0.02626320953278965
2003-05-01,3289.0,8957.0,146500.0,2988.0,137543.0,9266.0,2906.0,0.2899408284023669,0.024710183744488384,0.34240697214102755,0.02502060471200767
2003-06-01,3390.0,9266.0,147056.0,2906.0,137790.0,9011.0,2720.0,0.3210662637599827,0.023515144061247314,0.387231746406564,0.023796037296923603
2003-07-01,2981.0,9011.0,146485.0,2720.0,137474.0,8896.0,2801.0,0.3236044834091666,0.024307821837378795,0.39097729031966544,0.024608133542140045
2003-08-01,3190.0,8896.0,146445.0,2801.0,137549.0,8921.0,2704.0,0.3011465827338129,0.0231431962160951,0.358314262221026,0.02341520494453275
2003-09-01,3091.0,8921.0,146530.0,2704.0,137609.0,8732.0,2710.0,0.3249635691066024,0.02351409078357876,0.3929886178721043,0.02379495865541258
2003-10-01,3305.0,8732.0,146716.0,2710.0,137984.0,8576.0,2656.0,0.3220338983050848,0.02294278592979892,0.3886579897917832,0.023210067681410932
2003-11-01,3324.0,8576.0,147000.0,2656.0,138424.0,8317.0,2554.0,0.32800839552238803,0.022070155923445137,0.39750943187391685,0.022317345593383674
2003-12-01,3414.0,8317.0,146729.0,2554.0,138412.0,8370.0,2685.0,0.3164602621137429,0.0230450242671993,0.38047048568405106,0.023314712205152605
2004-01-01,3424.0,8370.0,146842.0,2685.0,138472.0,8167.0,2425.0,0.3139784946236559,0.02077383433297058,0.37684630280251175,0.020992646107405626
